Score,City,X,Y,Name,Type_1,City_1,FullAddres
100,Albuquerque,-106.5171982,35.1089427,Big Lots 4331,Combination Grocery/Other,Albuquerque,11145 Menaul Blvd NE
100,Albuquerque,-106.7102879,35.09180417,Big Lots 1982,Combination Grocery/Other,Albuquerque,465 Coors Blvd NW
99.05,Albuquerque,-106.5914358,35.07287439,Big Lots 4433,Combination Grocery/Other,Albuquerque,5555 Zuni Rd SE
98.13,Albuquerque,-106.5227763,35.13073145,Big Lots 4753,Super Store,Albuquerque,9500 Montgomery Blvd
100,Albuquerque,-106.6310964,35.1372487,Bimbo Bakeries 9131,Bakery Specialty,Albuquerque,111 Montano Rd NE
100,Albuquerque,-106.6201144,35.13537633,Bimbo Bakeries 3121,Bakery Specialty,Albuquerque,405 Montano Rd NE
100,Albuquerque,-106.511526,35.10880313,Bimbo Bakeries 9129,Bakery Specialty,Albuquerque,11601 Menaul Blvd NE
100,Albuquerque,-106.5746783,35.07646739,Bombay Spice,Medium Grocery Store,Albuquerque,6514 Central Ave Se
100,Albuquerque,-106.6395346,35.09147289,BRITE STAR GROCERY,Small Grocery Store,Albuquerque,908 Edith Blvd NE
100,Albuquerque,-106.6533777,35.07530019,BROMOS FOOD MARKET,Small Grocery Store,Albuquerque,1426 4th St SW
99.15,Albuquerque,-106.6130767,35.09440818,BROOKS GROCERY EMPORIUM,Supermarket,ALBUQUERQUE,1409 GIRARD BLVD NE
100,Albuquerque,-106.5509491,35.09957524,Cafe Istanbul,Medium Grocery Store,Albuquerque,1410 Wyoming Blvd NE
100,Albuquerque,-106.6632596,34.95554891,CAL-MAINE FOODS,Meat/Poultry Specialty,Albuquerque,9615 Broadway Blvd SE
100,Albuquerque,-106.6053723,35.08199073,CAMPUS MARKET,Small Grocery Store,Albuquerque,1418 Grand Ave NE
100,Tijeras,-106.3389837,35.10639472,CANYON AUTO SERVICE LTD.,Combination Grocery/Other,Tijeras,844 State Highway 333
96.72,Albuquerque,-106.5775246,35.06369801,Caravan Nouveau Growers & Artisan Market,Farmers' Market,Albuquerque,Wilson Park San Pedro & Anderson SE
100,Albuquerque,-106.6673436,35.0658079,Caraveo Artisan,Combination Grocery/Other,Albuquerque,318 Isleta Blvd SW
100,Albuquerque,-106.5862563,35.0643226,CARIBBEAN PEARL TRADING CO.,Unknown,Albuquerque,1122B San Mateo Blvd SE
100,Albuquerque,-106.5686613,35.06978782,CARNICEERIA CUAUHTEMOC,Meat/Poultry Specialty,Albuquerque,534 Louisiana Blvd SE
100,Albuquerque,-106.6367601,35.16209852,CARNICERA VERONICA,Small Grocery Store,Albuquerque,6920 4th St NW
100,Albuquerque,-106.5337571,35.10900151,CARNICERIA CHIHUAHUA,Small Grocery Store,Albuquerque,9645 Menaul Blvd NE
100,Albuquerque,-106.5610217,35.07277139,Carniceria Chihuahua,Medium Grocery Store,Albuquerque,7850 Zuni Rd SE
100,Albuquerque,-106.7134321,35.05909036,CARNICERIA CUAUHTEMOC,Large Grocery Store,Albuquerque,9601 Sage Rd SW
100,Albuquerque,-106.7134321,35.05909036,CARNICERIA CUAUHTEMOC,Large Grocery Store,Albuquerque,9601 Sage Rd SW
100,Albuquerque,-106.5686613,35.06978782,Carniceria Cuauhtemoc,Meat/Poultry Specialty,Albuquerque,520 Louisiana Blvd SE
97.2,Albuquerque,-106.5774692,35.07691398,CARNICERIA DURANGO,Small Grocery Store,ALBUQUERQUE,8319 CENTRAL NE
100,Albuquerque,-106.6454796,35.06485495,CARNICERIA EL RODEO,Small Grocery Store,Albuquerque,1813 Broadway Blvd SE
100,Albuquerque,-106.5774692,35.07691398,CARNICERIA FLORES,Small Grocery Store,Albuquerque,8319 Central Ave NE
100,Albuquerque,-106.7133309,35.03496265,Carniceria Herradero Llc,Supermarket,Albuquerque,2821 Phillips Dr SW
100,Albuquerque,-106.7102879,35.09180417,CARNICERIA LAS AMERICAS,Small Grocery Store,Albuquerque,640 Coors Blvd NW
100,Albuquerque,-106.5686613,35.06978782,CARNICERIA Y TORTILLERIA CUAUHTEM,Meat/Poultry Specialty,Albuquerque,534 Louisiana Blvd SE
