Score,City,X,Y,Name,Type_1,city,county,FullAddress
100,Albuquerque,-106.5227763,35.13073145,Papa Murphy's Southwest NM001,Bakery Specialty,Albuquerque,BERNALILLO,12611 Montgomery Blvd NE
100,Albuquerque,-106.6760733,35.20771508,Papa Murphy's Take And Bake Pizza NM027,Bakery Specialty,Albuquerque,BERNALILLO,8631 Golf Course Rd Nw
97.93,Albuquerque,-106.71289,35.02049305,Papa Murphy's Take And Bake Pizza NM033,Bakery Specialty,Albuquerque,BERNALILLO,3715 Las Estancias Ct SW
96.11,Albuquerque,-106.5227763,35.13073145,PAPA MURPHYS NM001,Bakery Specialty,Albuquerque,BERNALILLO,12611 Montgomery Blvd NE Ste A11
96.7,Albuquerque,-106.569396,35.13065725,PAPA MURPHYS NM002,Bakery Specialty,Albuquerque,BERNALILLO,5011 MONTGOMERY BLVD NE STE B1
100,Albuquerque,-106.5227763,35.13073145,PAPA MURPHYS,Bakery Specialty,Albuquerque,BERNALILLO,12611 Montgomery Blvd NE
97.02,Albuquerque,-106.6987761,35.14073835,PAPA MURPHYS,Bakery Specialty,Albuquerque,BERNALILLO,2800 Coors Blvd NW Ste B
100,Albuquerque,-106.4979053,35.06758197,Papa Murphys NM014,Bakery Specialty,Albuquerque,BERNALILLO,200 Tramway Blvd SE
100,Albuquerque,-106.5194613,35.10894377,Papa Murphys NM019,Bakery Specialty,Albuquerque,BERNALILLO,8400 Menaul Blvd NE
100,Albuquerque,-106.6760733,35.20771508,Papa Murphys NM027,Bakery Specialty,Albuquerque,BERNALILLO,8631 Golf Course Rd NW
100,Albuquerque,-106.6042347,35.09614633,Papa Murphys NM029,Bakery Specialty,Albuquerque,BERNALILLO,2839 Carlisle Blvd NE
100,Albuquerque,-106.559951,35.17575095,PAPA MURPHYS PIZZA 22,Bakery Specialty,Albuquerque,BERNALILLO,8104 Wyoming Blvd NE
97.93,Albuquerque,-106.71289,35.02049305,Papa Murphys Pizza NM033,Bakery Specialty,Albuquerque,BERNALILLO,3715 Las Estancias Ct SW
100,Albuquerque,-106.5505147,35.14744049,PAPA MURPHYS PIZZA NM 16,Bakery Specialty,Albuquerque,BERNALILLO,8040 Academy Rd NE
99.13,Albuquerque,-106.6433394,35.12777342,PAPPA MURPHYS PIZZA NM 15,Meat/Poultry Specialty,Albuquerque,BERNALILLO,6125 4TH STREET NW
100,Albuquerque,-106.5293204,35.07161784,Pascaline Mule,Combination Grocery/Other,Albuquerque,BERNALILLO,9012 Central Ave Se
100,Albuquerque,-106.550669,35.09832149,PASTIAN'S BAKERY,Bakery Specialty,Albuquerque,BERNALILLO,1500B Wyoming Blvd NE
100,Albuquerque,-106.6419505,35.11686666,Pastian's Bakery,Combination Grocery/Other,Albuquerque,BERNALILLO,3320 2nd St Nw
100,Albuquerque,-106.6419505,35.11686666,Pastian's Bakery,Bakery Specialty,Albuquerque,BERNALILLO,3320 2nd St NW
100,Albuquerque,-106.6419505,35.11686666,PASTIANS BAKERY,Bakery Specialty,Albuquerque,BERNALILLO,3320 2nd St NW
100,Albuquerque,-106.586383,35.06469641,PAULS MEAT AND BAKERY,Meat/Poultry Specialty,Albuquerque,BERNALILLO,1145 San Mateo Blvd SE
100,Albuquerque,-106.7074085,35.09435599,PDQ Convenience Store,Small Grocery Store,Albuquerque,BERNALILLO,5900 Fortuna Rd NW
100,Albuquerque,-106.5880267,35.10924835,Persian Market,Small Grocery Store,Albuquerque,BERNALILLO,5017 Menaul Blvd NE
100,Albuquerque,-106.7102879,35.09180417,Pescaderia De Guaymas,Combination Grocery/Other,Albuquerque,BERNALILLO,640 Coors Blvd Nw
100,Albuquerque,-106.7056776,35.0567839,Pescaderia De Guaymas 1,Seafood Specialty,Albuquerque,BERNALILLO,806 Old Coors Dr SW
100,Albuquerque,-106.6048937,35.10916464,"Premier Gas No. 2, Llc",Small Grocery Store,Albuquerque,BERNALILLO,3520 Menaul Blvd NE
100,Albuquerque,-106.6983996,35.08273199,Pros ABQ Ranch Markets,Super Store,Albuquerque,BERNALILLO,4201 Central Ave NW
99.15,Albuquerque,-106.6130767,35.09440818,QUALITY GROCERY,Small Grocery Store,Albuquerque,BERNALILLO,1405 Girard Blvd NE
100,Albuquerque,-106.5526576,35.06992781,Quick Stop Market,Small Grocery Store,Albuquerque,BERNALILLO,438 Virginia St SE
99.03,Albuquerque,-106.6488165,35.08009545,Rail Yards Market,Farmers' Market,Albuquerque,BERNALILLO,777 1st St Sw
